epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.296,2.32992,4.50478,2.90193,1.63096,0.10976,0.10057,0.03056,0.01261,0.08737,0.08293,0.01908,0.00627,2.62637,4.72639,3.1412,1.71976,0.000663889,0.000663889,0.000663889
2,139.774,2.32753,4.21249,2.59037,1.55965,0.13688,0.10602,0.03541,0.01499,0.1275,0.09679,0.02665,0.01129,2.72648,4.94786,3.01669,1.77181,0.00132177,0.00132177,0.00132177
3,180.168,2.32816,4.13046,2.51499,1.5338,0.11235,0.11199,0.03489,0.01419,0.09923,0.10009,0.02499,0.00891,2.66603,5.02936,3.02751,1.7246,0.00197086,0.00197086,0.00197086
4,230.418,2.30317,4.05797,2.48322,1.52364,0.16503,0.10622,0.04214,0.01853,0.1552,0.09809,0.03418,0.01447,2.59955,4.33153,2.69279,1.63215,0.0019604,0.0019604,0.0019604
5,280.67,2.2842,4.05291,2.46932,1.50525,0.13028,0.11006,0.03454,0.01448,0.1211,0.10063,0.02802,0.01104,2.52705,4.19388,2.70679,1.58919,0.0019472,0.0019472,0.0019472
6,331.949,2.26301,4.03522,2.4593,1.49868,0.19145,0.09198,0.04805,0.02124,0.1768,0.08274,0.03523,0.01412,2.50453,4.15609,2.59965,1.57422,0.001934,0.001934,0.001934
7,382.828,2.27215,4.03215,2.45376,1.48646,0.17235,0.09756,0.04276,0.01972,0.15629,0.08312,0.03233,0.01434,2.47738,4.15299,2.6172,1.55902,0.0019208,0.0019208,0.0019208
8,433.713,2.18294,4.00455,2.3802,1.45316,0.16891,0.12392,0.04856,0.02254,0.16161,0.11064,0.03772,0.01517,2.41152,4.11681,2.58525,1.5134,0.0019076,0.0019076,0.0019076
9,484.283,2.18181,3.96781,2.36049,1.44318,0.17375,0.11564,0.04807,0.02149,0.16045,0.10679,0.03866,0.01569,2.48239,4.15274,2.62808,1.52559,0.0018944,0.0018944,0.0018944
10,535.3,2.13944,3.8979,2.33249,1.42791,0.16788,0.11276,0.0468,0.021,0.14925,0.09563,0.03297,0.01233,2.41508,4.0797,2.56037,1.4997,0.0018812,0.0018812,0.0018812
11,585.496,2.15464,3.91008,2.34797,1.43924,0.17361,0.13161,0.05105,0.02322,0.16005,0.11757,0.03945,0.01517,2.39433,4.0884,2.56198,1.48752,0.001868,0.001868,0.001868
12,635.858,2.11667,3.89553,2.32422,1.42269,0.18272,0.12911,0.05681,0.02659,0.17042,0.11507,0.04359,0.01701,2.37301,4.09921,2.50945,1.49415,0.0018548,0.0018548,0.0018548
13,685.734,2.12089,3.89983,2.31918,1.42028,0.19385,0.12969,0.05305,0.02465,0.18118,0.11584,0.04095,0.01656,2.36892,4.04798,2.50992,1.45898,0.0018416,0.0018416,0.0018416
14,735.692,2.14437,3.9208,2.39101,1.43137,0.14662,0.12526,0.04356,0.01982,0.12902,0.10525,0.03118,0.01257,2.39723,4.06337,2.5575,1.46308,0.0018284,0.0018284,0.0018284
15,786.787,2.09515,3.84028,2.30696,1.39596,0.17517,0.12507,0.05355,0.02411,0.16128,0.1118,0.0421,0.01643,2.34616,4.00081,2.53966,1.45464,0.0018152,0.0018152,0.0018152
16,837.183,2.08327,3.86891,2.30873,1.39188,0.18008,0.13469,0.05736,0.02769,0.16312,0.11487,0.04193,0.01707,2.34433,4.05529,2.50599,1.44802,0.001802,0.001802,0.001802
17,887.058,2.08174,3.85021,2.32044,1.39301,0.17926,0.13238,0.05658,0.02762,0.16924,0.11834,0.045,0.01961,2.36359,4.06328,2.50827,1.47046,0.0017888,0.0017888,0.0017888
18,929.93,2.05291,3.85328,2.29988,1.38757,0.17637,0.12642,0.05486,0.0257,0.16678,0.1118,0.04208,0.0173,2.34932,4.05095,2.51622,1.47008,0.0017756,0.0017756,0.0017756
19,979.429,2.08533,3.86686,2.28955,1.38057,0.16966,0.12142,0.05134,0.0261,0.14792,0.09948,0.03715,0.01518,2.34271,4.02668,2.49573,1.42763,0.0017624,0.0017624,0.0017624
20,1030.63,2.05577,3.8375,2.24491,1.36491,0.18159,0.11776,0.05419,0.02671,0.16952,0.10102,0.04174,0.0183,2.31924,3.98086,2.47502,1.42169,0.0017492,0.0017492,0.0017492
21,1082.11,2.06614,3.82129,2.27595,1.38385,0.17924,0.12777,0.05445,0.02563,0.17456,0.11622,0.04158,0.01821,2.31924,3.98659,2.48911,1.43773,0.001736,0.001736,0.001736
22,1132.95,2.04264,3.81209,2.25238,1.37276,0.1756,0.1243,0.0536,0.02779,0.17222,0.11584,0.04489,0.01917,2.29977,4.03964,2.56782,1.4415,0.0017228,0.0017228,0.0017228
23,1183.59,2.05461,3.81627,2.26624,1.37274,0.18971,0.12834,0.05517,0.02526,0.17961,0.11468,0.04287,0.01688,2.35789,3.98897,2.49275,1.43021,0.0017096,0.0017096,0.0017096
24,1233.16,2.06155,3.82541,2.28456,1.39051,0.16703,0.12873,0.05258,0.02482,0.15517,0.10775,0.03796,0.01569,2.32112,3.99036,2.52025,1.4619,0.0016964,0.0016964,0.0016964
25,1283.82,2.01325,3.74547,2.22918,1.35816,0.18526,0.13695,0.05997,0.02823,0.17883,0.13027,0.05002,0.02137,2.29139,3.95791,2.46409,1.42221,0.0016832,0.0016832,0.0016832
