epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.666,1.46581,1.99769,1.19057,1.2343,0.79934,0.75747,0.84158,0.50685,0.8035,0.7471,0.83603,0.38717,1.49721,1.62962,1.20587,1.15939,0.000654088,0.000654088,0.000654088
2,26.6516,1.44351,2.03874,1.17546,1.22482,0.78354,0.71236,0.81325,0.4757,0.78798,0.69236,0.79992,0.37318,1.54895,1.7178,1.2435,1.21224,0.00131814,0.00131814,0.00131814
3,38.6136,1.52231,2.07001,1.20501,1.24801,0.76355,0.65444,0.7545,0.41766,0.75108,0.6495,0.71269,0.29199,1.67878,2.02738,1.39219,1.29443,0.00197955,0.00197955,0.00197955
4,50.6871,1.50491,2.08356,1.23709,1.25588,0.73077,0.70214,0.77134,0.43127,0.74676,0.71236,0.76782,0.35122,1.63275,1.75822,1.26953,1.24187,0.00198812,0.00198812,0.00198812
5,62.4561,1.53238,2.04966,1.24699,1.27079,0.73126,0.64189,0.72891,0.40055,0.70691,0.60297,0.67074,0.30555,1.71975,1.98515,1.40495,1.27103,0.00198416,0.00198416,0.00198416
6,74.3443,1.48144,1.98962,1.19658,1.23879,0.7956,0.72394,0.82358,0.48918,0.77487,0.71429,0.80631,0.37427,1.56816,1.67202,1.16839,1.19235,0.0019802,0.0019802,0.0019802
7,86.5051,1.50886,2.05141,1.25579,1.26164,0.69722,0.59749,0.67471,0.36739,0.64628,0.58977,0.62355,0.27887,1.77486,2.01888,1.63479,1.32113,0.00197624,0.00197624,0.00197624
8,98.8256,1.57149,2.11618,1.29872,1.27962,0.79219,0.67085,0.78944,0.4526,0.83551,0.69691,0.81256,0.37901,1.66383,1.74525,1.25827,1.22481,0.00197228,0.00197228,0.00197228
9,111.134,1.48436,2.00728,1.2088,1.23303,0.76711,0.68243,0.79289,0.4675,0.77448,0.68949,0.7766,0.36727,1.52058,1.69078,1.22585,1.19721,0.00196832,0.00196832,0.00196832
10,123.844,1.52601,2.0653,1.23236,1.25752,0.76473,0.67769,0.76694,0.4136,0.78368,0.66892,0.76879,0.3365,1.67622,1.78665,1.37468,1.246,0.00196436,0.00196436,0.00196436
11,136.403,1.49777,1.97619,1.22644,1.26,0.76359,0.66097,0.77047,0.45364,0.751,0.6612,0.76234,0.35513,1.57847,1.65172,1.32414,1.21794,0.0019604,0.0019604,0.0019604
12,148.507,1.51144,2.00769,1.22794,1.26127,0.72552,0.7529,0.79262,0.45185,0.75563,0.74421,0.7998,0.34486,1.60039,1.82443,1.24748,1.21607,0.00195644,0.00195644,0.00195644
13,160.792,1.54717,2.11872,1.25846,1.26584,0.71464,0.61158,0.73233,0.41553,0.72494,0.5917,0.70194,0.2847,1.64106,1.82961,1.28281,1.23251,0.00195248,0.00195248,0.00195248
14,173.24,1.47987,1.97218,1.19578,1.24277,0.83503,0.68919,0.81682,0.49138,0.848,0.70174,0.81391,0.38449,1.58338,1.68274,1.12763,1.19517,0.00194852,0.00194852,0.00194852
15,185.798,1.53848,2.05594,1.22893,1.27662,0.81777,0.68919,0.79972,0.45899,0.82771,0.67242,0.79452,0.36501,1.5939,1.72005,1.25732,1.21677,0.00194456,0.00194456,0.00194456
16,198.296,1.48623,2.02012,1.18237,1.24493,0.75194,0.70517,0.77808,0.46677,0.75553,0.70402,0.76902,0.34485,1.52809,1.72362,1.28083,1.18916,0.0019406,0.0019406,0.0019406
17,210.828,1.45901,1.94962,1.1773,1.23329,0.70038,0.60714,0.67309,0.33532,0.71465,0.54635,0.60308,0.1914,1.84238,2.33601,1.51574,1.32765,0.00193664,0.00193664,0.00193664
18,222.956,1.49663,2.02229,1.19639,1.2386,0.69995,0.61022,0.67535,0.36573,0.68631,0.59073,0.63611,0.24937,1.80177,2.03468,1.49674,1.3136,0.00193268,0.00193268,0.00193268
19,235.185,1.46332,1.99425,1.1815,1.22745,0.78933,0.70174,0.79873,0.46766,0.77663,0.688,0.77741,0.34811,1.61696,1.80179,1.22576,1.22054,0.00192872,0.00192872,0.00192872
20,247.375,1.48197,2.04465,1.1815,1.22535,0.77163,0.74324,0.80762,0.46909,0.78702,0.75,0.80465,0.37217,1.5631,1.78707,1.22793,1.17658,0.00192476,0.00192476,0.00192476
21,259.525,1.53511,2.09575,1.24793,1.27145,0.68367,0.60232,0.68413,0.36116,0.64342,0.57336,0.60103,0.22144,1.74216,2.06461,1.46093,1.29422,0.0019208,0.0019208,0.0019208
22,271.685,1.48788,2.01524,1.17349,1.23806,0.79344,0.67482,0.78956,0.44045,0.76914,0.63672,0.73,0.30499,1.69055,1.97999,1.31509,1.25762,0.00191684,0.00191684,0.00191684
23,284.487,1.48611,2.00942,1.20896,1.25047,0.75211,0.75,0.82036,0.48334,0.75443,0.75322,0.81904,0.38056,1.48946,1.68287,1.28552,1.15368,0.00191288,0.00191288,0.00191288
24,296.746,1.45983,1.93835,1.20894,1.23752,0.7939,0.68436,0.80428,0.45778,0.79845,0.6834,0.79271,0.35346,1.61894,1.86788,1.26745,1.23336,0.00190892,0.00190892,0.00190892
25,308.879,1.4927,1.99932,1.20019,1.23672,0.8259,0.68726,0.81629,0.47806,0.82624,0.6839,0.78862,0.3446,1.58736,1.75836,1.1872,1.17723,0.00190496,0.00190496,0.00190496
26,321.304,1.45428,2.02102,1.15905,1.22931,0.81059,0.68574,0.81083,0.48358,0.81516,0.6896,0.8099,0.3825,1.57634,1.7322,1.2147,1.19232,0.001901,0.001901,0.001901
27,334.269,1.43694,1.98484,1.12932,1.22713,0.81424,0.75772,0.8485,0.51648,0.82461,0.76737,0.84321,0.39338,1.47891,1.67,1.14176,1.1579,0.00189704,0.00189704,0.00189704
28,346.799,1.45995,2.0399,1.21988,1.22483,0.7092,0.65637,0.7368,0.41598,0.67322,0.65058,0.70058,0.29607,1.61355,2.00045,1.37071,1.20135,0.00189308,0.00189308,0.00189308
29,358.914,1.47948,1.9578,1.18142,1.23012,0.81177,0.62741,0.74921,0.41594,0.75732,0.59073,0.67244,0.28313,1.69119,1.97298,1.30707,1.24933,0.00188912,0.00188912,0.00188912
30,370.742,1.48807,1.93029,1.14545,1.23273,0.77001,0.79151,0.83357,0.49542,0.78084,0.79787,0.82867,0.38229,1.51675,1.64904,1.09246,1.17089,0.00188516,0.00188516,0.00188516
31,382.597,1.44886,1.94076,1.1497,1.21455,0.8247,0.72658,0.82802,0.46916,0.83874,0.71911,0.81865,0.35763,1.54877,1.66722,1.20192,1.19315,0.0018812,0.0018812,0.0018812
32,394.743,1.51257,2.02462,1.18592,1.24417,0.73573,0.55598,0.64729,0.31692,0.72905,0.53668,0.60453,0.22609,1.95143,2.27938,1.70564,1.42943,0.00187724,0.00187724,0.00187724
33,407.255,1.44958,1.99613,1.13842,1.21964,0.75875,0.75772,0.81985,0.49639,0.74991,0.74228,0.79438,0.37047,1.56071,1.79388,1.11145,1.15477,0.00187328,0.00187328,0.00187328
34,419.157,1.41338,1.93246,1.13562,1.21065,0.78409,0.69788,0.80592,0.48205,0.78953,0.69886,0.80066,0.36666,1.52403,1.72297,1.13869,1.16671,0.00186932,0.00186932,0.00186932
35,431.134,1.45774,1.95976,1.14407,1.21546,0.74793,0.69208,0.77478,0.45173,0.75954,0.66466,0.73721,0.30191,1.5985,1.91098,1.24277,1.21204,0.00186536,0.00186536,0.00186536
36,443.371,1.42686,1.9507,1.13586,1.20267,0.79834,0.75097,0.84221,0.50654,0.80622,0.75501,0.83419,0.40324,1.46698,1.65969,1.10037,1.15038,0.0018614,0.0018614,0.0018614
37,455.46,1.48398,2.01568,1.17314,1.23112,0.81889,0.68523,0.80243,0.48954,0.83274,0.69681,0.79596,0.3907,1.46118,1.69686,1.18252,1.17336,0.00185744,0.00185744,0.00185744
38,467.494,1.48244,1.98355,1.19377,1.23114,0.8176,0.72687,0.83233,0.48198,0.80945,0.72201,0.81373,0.36679,1.53014,1.69355,1.16353,1.17872,0.00185348,0.00185348,0.00185348
39,479.413,1.50091,2.01647,1.19188,1.25826,0.76126,0.75772,0.82913,0.48264,0.72814,0.7278,0.77289,0.34823,1.57316,1.695,1.14888,1.18199,0.00184952,0.00184952,0.00184952
40,491.248,1.44409,1.96763,1.14595,1.2175,0.78957,0.77703,0.85008,0.50132,0.79487,0.77992,0.84196,0.39883,1.48981,1.60382,1.0968,1.16123,0.00184556,0.00184556,0.00184556
41,503.21,1.42389,1.93169,1.15136,1.22119,0.75947,0.64917,0.75491,0.4234,0.75917,0.64961,0.7431,0.32229,1.72385,1.8378,1.31289,1.2734,0.0018416,0.0018416,0.0018416
42,515.041,1.44521,1.95037,1.14513,1.21354,0.78956,0.7026,0.79063,0.46202,0.8016,0.70753,0.77095,0.36212,1.56157,1.68631,1.19473,1.19833,0.00183764,0.00183764,0.00183764
43,526.905,1.4377,1.99408,1.12397,1.21032,0.78061,0.73552,0.82932,0.4757,0.80011,0.73552,0.82513,0.36279,1.55042,1.66978,1.17145,1.16,0.00183368,0.00183368,0.00183368
44,538.746,1.425,1.91609,1.13735,1.2005,0.80302,0.74766,0.84325,0.49718,0.85427,0.71622,0.82988,0.39272,1.51381,1.69335,1.15462,1.16155,0.00182972,0.00182972,0.00182972
45,550.728,1.37855,1.93984,1.09948,1.18925,0.74718,0.74614,0.83596,0.49007,0.75297,0.75027,0.82411,0.40107,1.5276,1.62416,1.14329,1.16107,0.00182576,0.00182576,0.00182576
46,562.914,1.41712,1.89011,1.1091,1.20825,0.73855,0.72587,0.78705,0.4677,0.73626,0.73024,0.78089,0.35944,1.54581,1.72969,1.2047,1.19451,0.0018218,0.0018218,0.0018218
47,575.149,1.39253,1.93868,1.10182,1.20293,0.75938,0.70371,0.80745,0.47616,0.8031,0.70656,0.8183,0.38543,1.55874,1.61534,1.21927,1.1871,0.00181784,0.00181784,0.00181784
48,587.519,1.37188,1.89109,1.0758,1.18191,0.78063,0.7797,0.86234,0.53813,0.79044,0.77703,0.85853,0.43373,1.46685,1.60304,1.01138,1.13054,0.00181388,0.00181388,0.00181388
49,599.288,1.43218,1.99432,1.13018,1.20348,0.79791,0.76255,0.84191,0.51719,0.80474,0.76379,0.82783,0.40018,1.47687,1.66602,1.12114,1.1438,0.00180992,0.00180992,0.00180992
50,612.05,1.4085,1.98509,1.12499,1.20127,0.79678,0.77799,0.85525,0.50616,0.84676,0.75739,0.84007,0.40324,1.50123,1.65057,1.12638,1.15674,0.00180596,0.00180596,0.00180596
51,624.619,1.36283,1.90174,1.06712,1.1975,0.78943,0.79614,0.86685,0.52381,0.78152,0.78764,0.84536,0.40334,1.42577,1.55398,1.04425,1.1458,0.001802,0.001802,0.001802
52,636.758,1.38874,1.89207,1.05901,1.19188,0.73585,0.67085,0.74107,0.43797,0.72824,0.66476,0.72341,0.31398,1.65681,1.80639,1.41229,1.2368,0.00179804,0.00179804,0.00179804
53,648.912,1.38068,1.93325,1.06647,1.20156,0.78829,0.75579,0.83005,0.49661,0.773,0.7278,0.7957,0.37418,1.51804,1.70915,1.09528,1.16,0.00179408,0.00179408,0.00179408
54,661.244,1.43482,1.91851,1.08906,1.20809,0.7733,0.74517,0.83694,0.49959,0.76709,0.74391,0.80902,0.35719,1.53372,1.72662,1.11943,1.1857,0.00179012,0.00179012,0.00179012
55,673.115,1.4087,1.88034,1.07916,1.17792,0.79455,0.68147,0.7958,0.45685,0.79342,0.6805,0.78437,0.33408,1.62444,1.68377,1.15558,1.20458,0.00178616,0.00178616,0.00178616
56,685.231,1.41302,1.9273,1.11597,1.19162,0.83613,0.78802,0.86348,0.52306,0.83939,0.78189,0.85352,0.40035,1.45222,1.52155,1.07424,1.13477,0.0017822,0.0017822,0.0017822
57,697.474,1.39623,1.93942,1.07966,1.18573,0.78835,0.78861,0.86386,0.52443,0.77237,0.78279,0.84799,0.4048,1.47886,1.60761,1.09711,1.15014,0.00177824,0.00177824,0.00177824
58,709.619,1.3742,1.92634,1.07509,1.18944,0.78369,0.78089,0.85872,0.51437,0.7712,0.75805,0.81481,0.36897,1.53578,1.7387,1.06068,1.1755,0.00177428,0.00177428,0.00177428
59,721.755,1.37513,1.91786,1.1014,1.19883,0.80466,0.72364,0.83005,0.50225,0.82099,0.7216,0.83028,0.40062,1.44562,1.56154,1.10569,1.13955,0.00177032,0.00177032,0.00177032
60,733.957,1.44653,1.96404,1.11661,1.21439,0.74657,0.64382,0.75797,0.4453,0.73937,0.60328,0.70463,0.31631,1.5886,1.93178,1.25924,1.20938,0.00176636,0.00176636,0.00176636
61,745.973,1.37075,1.87038,1.10124,1.19756,0.78698,0.76448,0.85329,0.52369,0.79247,0.76544,0.85454,0.43263,1.48915,1.61452,1.06033,1.13443,0.0017624,0.0017624,0.0017624
62,757.969,1.3673,1.88061,1.05451,1.18039,0.79228,0.74,0.8298,0.50808,0.80501,0.76062,0.82235,0.39955,1.48387,1.7246,1.15566,1.15887,0.00175844,0.00175844,0.00175844
63,770.243,1.33987,1.83749,1.05054,1.17081,0.83456,0.79854,0.88602,0.55542,0.84136,0.79054,0.87711,0.43719,1.42072,1.59061,1.01789,1.11458,0.00175448,0.00175448,0.00175448
64,782.197,1.39842,1.89719,1.09452,1.19653,0.81788,0.75426,0.86062,0.52805,0.84428,0.74837,0.85604,0.39422,1.4032,1.6316,1.05114,1.11985,0.00175052,0.00175052,0.00175052
65,794.127,1.35661,1.92032,1.09618,1.17822,0.77223,0.77992,0.85297,0.5317,0.78624,0.76931,0.8479,0.41634,1.42044,1.5465,1.04068,1.13161,0.00174656,0.00174656,0.00174656
66,805.845,1.38101,1.86479,1.09141,1.19131,0.80906,0.63394,0.76769,0.46114,0.81768,0.6407,0.75754,0.35678,1.57501,1.76871,1.26596,1.18914,0.0017426,0.0017426,0.0017426
67,818.163,1.39094,1.92364,1.09065,1.19361,0.8125,0.78089,0.87113,0.54219,0.8117,0.79471,0.86234,0.42765,1.40896,1.49434,1.07959,1.11287,0.00173864,0.00173864,0.00173864
68,830.258,1.33727,1.80948,1.03512,1.17126,0.79269,0.80089,0.86889,0.5423,0.82117,0.79633,0.86622,0.43286,1.38628,1.52124,1.02611,1.10907,0.00173468,0.00173468,0.00173468
69,842.114,1.36404,1.87679,1.08939,1.18712,0.78936,0.79217,0.87027,0.55289,0.79904,0.77529,0.86405,0.43674,1.37568,1.46768,1.00621,1.09825,0.00173072,0.00173072,0.00173072
70,853.938,1.34798,1.85492,1.07023,1.17371,0.83384,0.80792,0.89258,0.55684,0.83336,0.82062,0.88609,0.43507,1.41336,1.52971,1.02709,1.11117,0.00172676,0.00172676,0.00172676
71,865.94,1.37773,1.88286,1.08897,1.19096,0.85956,0.76931,0.86987,0.50545,0.87067,0.78185,0.87051,0.41472,1.52079,1.62151,1.06698,1.16315,0.0017228,0.0017228,0.0017228
72,877.807,1.41177,1.87972,1.09661,1.19641,0.78063,0.73162,0.84046,0.50082,0.79803,0.73166,0.83045,0.41079,1.57859,1.64581,1.13892,1.18402,0.00171884,0.00171884,0.00171884
73,890.104,1.3785,1.85997,1.08406,1.18159,0.80558,0.76792,0.86437,0.51621,0.80103,0.75772,0.84289,0.39908,1.44842,1.60223,1.07084,1.12187,0.00171488,0.00171488,0.00171488
74,902.219,1.36891,1.93482,1.08456,1.18126,0.82444,0.76448,0.85494,0.53552,0.823,0.75965,0.823,0.39377,1.44642,1.62834,1.03709,1.12276,0.00171092,0.00171092,0.00171092
75,914.321,1.35431,1.84732,1.07305,1.16947,0.79171,0.77413,0.8373,0.50667,0.81115,0.78282,0.84361,0.41711,1.45689,1.57641,1.10289,1.12385,0.00170696,0.00170696,0.00170696
76,926.498,1.37571,1.87169,1.09198,1.19592,0.84148,0.79344,0.87304,0.53643,0.8565,0.772,0.85912,0.41306,1.48202,1.59477,1.09077,1.12706,0.001703,0.001703,0.001703
77,938.675,1.33347,1.82157,1.05358,1.16324,0.80749,0.81382,0.86567,0.55139,0.79792,0.80417,0.85448,0.43328,1.37211,1.46194,1.00538,1.10113,0.00169904,0.00169904,0.00169904
78,950.713,1.34406,1.83072,1.06412,1.15681,0.8407,0.8166,0.89349,0.55163,0.84176,0.81274,0.87437,0.42574,1.40668,1.55089,1.00247,1.10705,0.00169508,0.00169508,0.00169508
79,962.84,1.37998,1.84355,1.04459,1.17658,0.81202,0.77971,0.85956,0.53499,0.8189,0.77703,0.85652,0.43643,1.4153,1.59549,1.02605,1.11343,0.00169112,0.00169112,0.00169112
80,974.927,1.36831,1.84094,1.07519,1.19433,0.81687,0.79923,0.88412,0.55402,0.84484,0.75684,0.87211,0.43064,1.37114,1.532,0.99938,1.10149,0.00168716,0.00168716,0.00168716
81,987.054,1.36528,1.93921,1.0517,1.17915,0.82119,0.77132,0.86684,0.54534,0.82458,0.76448,0.85615,0.43487,1.42415,1.52746,1.08426,1.13496,0.0016832,0.0016832,0.0016832
82,999.073,1.38533,1.84317,1.05019,1.18627,0.80787,0.74807,0.84007,0.53005,0.82633,0.74404,0.82776,0.40178,1.45689,1.56951,1.11894,1.14565,0.00167924,0.00167924,0.00167924
83,1011.15,1.35411,1.85533,1.04693,1.16602,0.8088,0.73456,0.85544,0.52044,0.80667,0.73263,0.85231,0.41479,1.43186,1.53481,1.06996,1.13103,0.00167528,0.00167528,0.00167528
84,1023.04,1.33328,1.78814,1.02705,1.17121,0.82683,0.78958,0.87104,0.54354,0.84319,0.79411,0.86921,0.43476,1.46742,1.60484,1.03447,1.12743,0.00167132,0.00167132,0.00167132
85,1035.01,1.39306,1.86557,1.04597,1.18033,0.7979,0.83075,0.88102,0.53635,0.81407,0.82239,0.87152,0.42602,1.40542,1.58453,1.01767,1.11296,0.00166736,0.00166736,0.00166736
86,1047.27,1.34512,1.8057,1.0095,1.16996,0.79791,0.81937,0.86954,0.53326,0.77651,0.79483,0.8353,0.39738,1.47383,1.62589,1.03903,1.13699,0.0016634,0.0016634,0.0016634
