fitness,lr0,lrf,weight_decay,hsv_v,translate,scale,degrees,perspective
0.74749,0.01,0.01,0.0005,0.4,0.1,0.5,0.0,0.0
0.74528,0.01,0.01018,0.0005,0.4,0.09915,0.5,0.0,0.0
0.75847,0.01,0.01,0.00049,0.25749,0.11621,0.57717,0.0,0.0
0.78012,0.00911,0.01,0.00053,0.27243,0.13049,0.51643,0.0,0.0
0.75847,0.01,0.01,0.00049,0.25749,0.11621,0.57717,0.0,0.0
0.77122,0.00958,0.01,0.00051,0.25749,0.11241,0.57613,0.0,0.0
0.76895,0.01009,0.01,0.00049,0.25812,0.12127,0.57054,0.0,0.0
0.72355,0.00932,0.01,0.00043,0.21567,0.10503,0.68202,0.0,0.0
0.70745,0.01074,0.01,0.00049,0.26334,0.10908,0.59751,0.0,0.0
0.71765,0.00935,0.01,0.00057,0.27445,0.13049,0.55465,0.0,0.0
0.72127,0.01009,0.01,0.0005,0.25662,0.12127,0.57843,0.0,0.0
0.77123,0.00942,0.01,0.00055,0.28377,0.13138,0.51643,0.0,0.0
0.72556,0.0096,0.0108,0.00047,0.32344,0.13455,0.53859,0.0,0.0
0.80371,0.01001,0.01,0.0006,0.29499,0.1143,0.43267,0.0,0.0
0.78333,0.00911,0.01002,0.00053,0.27318,0.13055,0.51545,0.0,0.0
0.82918,0.00911,0.01,0.00046,0.27243,0.13385,0.51644,0.0,0.0
0.85472,0.00741,0.01194,0.00048,0.25634,0.11118,0.51644,0.0,0.0
0.86486,0.00869,0.01,0.00047,0.24749,0.13326,0.48724,0.0,0.0
0.75273,0.00871,0.01,0.00049,0.24714,0.12848,0.51632,0.0,0.0
0.82312,0.00741,0.01208,0.00051,0.26092,0.10439,0.58012,0.0,0.0
0.86283,0.00909,0.01036,0.00047,0.23908,0.13855,0.48724,0.0,0.0
0.85887,0.00853,0.01,0.00063,0.17622,0.10503,0.47049,0.0,0.0
0.72697,0.01006,0.01036,0.0004,0.23908,0.13855,0.55318,0.0,0.0
0.82994,0.0086,0.01,0.00066,0.17771,0.1052,0.46388,0.0,0.0
0.78853,0.0104,0.01036,0.00057,0.20744,0.15228,0.48155,0.0,0.0
0.8425,0.00902,0.01,0.00047,0.24749,0.10224,0.46363,0.0,0.0
0.87822,0.00689,0.01176,0.00048,0.23483,0.1149,0.55037,0.0,0.0
0.86808,0.00874,0.01,0.00048,0.25271,0.14026,0.41817,0.0,0.0
0.68875,0.00802,0.01,0.00059,0.2402,0.12651,0.66152,0.0,0.0
0.91269,0.00689,0.01266,0.0005,0.23483,0.11194,0.57625,0.0,0.0
0.86664,0.00727,0.0146,0.00054,0.27137,0.09373,0.55162,0.0,0.0
0.89829,0.00659,0.0122,0.00051,0.22988,0.09658,0.46298,0.0,0.0
0.90115,0.0062,0.01451,0.00042,0.23735,0.1157,0.54614,0.0,0.0
0.91311,0.00672,0.0122,0.00049,0.22665,0.0951,0.48054,0.0,0.0
0.90072,0.00603,0.01451,0.00045,0.26683,0.1157,0.54614,0.0,0.0
0.90254,0.0057,0.01194,0.00049,0.22383,0.09341,0.48054,0.0,0.0
0.85774,0.00598,0.01266,0.0005,0.21825,0.11194,0.6023,0.0,0.0
0.81715,0.00705,0.01257,0.00049,0.20416,0.09964,0.4911,0.0,0.0
0.8757,0.00672,0.0122,0.00049,0.22677,0.0951,0.48044,0.0,0.0
0.90318,0.00665,0.01214,0.0005,0.22832,0.09857,0.48054,0.0,0.0
0.86001,0.00692,0.01332,0.00048,0.21119,0.12709,0.59582,0.0,0.0
0.77213,0.0062,0.0118,0.0005,0.25413,0.11912,0.68216,0.0,0.0
0.90276,0.00639,0.01214,0.00051,0.23344,0.09281,0.48054,0.0,0.0
0.82755,0.00657,0.01266,0.00049,0.22902,0.10236,0.60165,0.0,0.0
0.85057,0.00701,0.01301,0.0005,0.22295,0.1148,0.57625,0.0,0.0
0.89034,0.00699,0.01205,0.00051,0.22366,0.0951,0.47372,0.0,0.0
0.93972,0.00546,0.01044,0.00049,0.23712,0.0951,0.48054,0.0,0.0
0.88017,0.00565,0.01,0.00051,0.22253,0.10872,0.55437,0.0,0.0
0.89796,0.00526,0.01,0.00048,0.26364,0.07717,0.48054,0.0,0.0
0.92946,0.00546,0.01,0.00052,0.25247,0.0951,0.48054,0.0,0.0
0.91592,0.00546,0.01,0.00049,0.2753,0.0951,0.48682,0.0,0.0
0.8997,0.00546,0.01044,0.00049,0.23712,0.09513,0.48054,0.0,0.0
0.91598,0.00556,0.01002,0.00052,0.24562,0.11818,0.49932,0.0,0.0
0.9158,0.00538,0.01033,0.00049,0.23491,0.09291,0.47054,0.0,0.0
0.88849,0.00544,0.01,0.00052,0.25406,0.09489,0.47711,0.0,0.0
0.92987,0.00617,0.01044,0.00049,0.23123,0.0906,0.48054,0.0,0.0
0.94333,0.00474,0.01,0.00044,0.23712,0.09333,0.43054,0.0,0.0
0.93092,0.00483,0.01067,0.00044,0.2126,0.09333,0.48632,0.0,0.0
0.93393,0.00474,0.01,0.00038,0.23712,0.08586,0.34921,0.0,0.0
