epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8313,2.47065,3.51112,2.77625,1.77373,0.03736,0.15417,0.01522,0.00381,0.02856,0.06667,0.00753,0.00151,3.23495,9.03718,5.15136,7.16215,0.0703797,0.00329114,0.00329114
2,19.9232,2.34613,3.07164,2.27077,1.72529,0.11289,0.17083,0.05508,0.01413,0.12243,0.1125,0.03388,0.00793,2.86737,3.80179,4.59907,3.16251,0.0402486,0.00649331,0.00649331
3,28.4589,2.54448,3.31622,2.48108,1.90944,0.01693,0.01667,0.00251,0.00073,0.23418,0.00833,0.00231,0.00026,3.31474,10.1787,8.23723,3.54519,0.00998542,0.00956348,0.00956348
4,37.7601,2.55464,3.43427,2.47695,1.98209,0.22531,0.08333,0.05107,0.01141,0.05165,0.02917,0.0027,0.00049,3.50048,6.59207,4.6785,7.40178,0.009406,0.009406,0.009406
5,46.9994,2.45593,2.98227,2.32453,1.8996,0.22767,0.325,0.14176,0.0443,0.24156,0.31667,0.15171,0.03502,2.33145,2.51704,3.84209,1.92805,0.009208,0.009208,0.009208
6,55.9999,2.42535,3.05579,2.30495,1.87521,0.18125,0.22083,0.09552,0.02625,0.16706,0.16667,0.07762,0.01563,2.73156,3.47745,2.93258,2.16788,0.00901,0.00901,0.00901
7,65.0756,2.37999,3.01024,2.25621,1.82553,0.41143,0.12083,0.13417,0.04509,0.11956,0.3125,0.05514,0.01377,2.53808,3.00794,4.55633,1.88848,0.008812,0.008812,0.008812
8,74.3235,2.32804,2.78578,2.1944,1.83198,0.2592,0.2625,0.15293,0.04018,0.26743,0.27083,0.15141,0.04152,2.48596,2.60388,2.71427,2.02491,0.008614,0.008614,0.008614
9,83.4532,2.2579,2.87603,2.12139,1.80162,0.27375,0.2625,0.14317,0.04125,0.22562,0.2258,0.1053,0.02637,2.63912,2.88747,2.53583,2.17244,0.008416,0.008416,0.008416
10,92.6377,2.27992,2.76496,2.07895,1.81611,0.29011,0.11667,0.06802,0.01437,0.10266,0.05417,0.0117,0.00259,3.26044,5.78614,4.15904,2.95875,0.008218,0.008218,0.008218
11,101.656,2.26336,2.75742,2.10932,1.80388,0.22351,0.225,0.11834,0.03505,0.22463,0.20417,0.11179,0.03359,2.60013,2.54017,4.19699,2.05021,0.00802,0.00802,0.00802
12,110.721,2.18547,2.67127,1.9958,1.73667,0.49155,0.30833,0.34212,0.12294,0.55417,0.3625,0.38816,0.12806,2.09611,2.2201,1.94807,1.69087,0.007822,0.007822,0.007822
13,119.699,2.15282,2.599,1.94826,1.70421,0.0383,0.15,0.02998,0.0102,0.09034,0.04583,0.01878,0.00461,2.86217,9.38231,4.32551,2.67845,0.007624,0.007624,0.007624
14,128.732,2.09647,2.65382,1.98959,1.69505,0.29292,0.37083,0.26115,0.09847,0.24607,0.32917,0.20684,0.04832,2.0338,2.40259,2.27669,1.71069,0.007426,0.007426,0.007426
15,137.759,2.12039,2.62293,1.97178,1.69192,0.24129,0.27917,0.15279,0.05315,0.24416,0.275,0.14649,0.038,2.57694,2.45885,3.7372,1.98786,0.007228,0.007228,0.007228
16,146.821,2.17469,2.55756,1.97642,1.75226,0.23364,0.24167,0.11958,0.04139,0.18179,0.19167,0.0909,0.02206,2.69503,4.84759,4.38164,2.22901,0.00703,0.00703,0.00703
17,155.554,2.18653,2.64342,2.02253,1.80741,0.39102,0.35,0.30625,0.1126,0.51533,0.3625,0.34725,0.11504,2.08512,2.12241,1.92627,1.76078,0.006832,0.006832,0.006832
18,164.282,2.0666,2.46849,1.87263,1.70286,0.23371,0.21667,0.09914,0.03025,0.24234,0.17917,0.08734,0.01566,2.61532,6.18505,3.04703,2.40242,0.006634,0.006634,0.006634
19,172.979,2.00901,2.46006,1.79934,1.64259,0.1328,0.12917,0.06426,0.01735,0.13254,0.15833,0.04608,0.01033,2.69569,3.56576,2.88234,2.23724,0.006436,0.006436,0.006436
20,181.481,2.00673,2.57519,1.85779,1.64035,0.35211,0.35833,0.24968,0.08655,0.33724,0.325,0.20205,0.0515,2.13063,3.43187,2.17015,1.79547,0.006238,0.006238,0.006238
21,190.264,2.02209,2.54481,1.79826,1.64108,0.44386,0.40833,0.39733,0.14952,0.49527,0.34167,0.35878,0.11355,2.02298,2.25252,2.04409,1.66993,0.00604,0.00604,0.00604
22,199.091,2.12245,2.60027,1.85947,1.67926,0.36826,0.48333,0.36745,0.1348,0.40628,0.42083,0.38666,0.10296,2.00951,2.226,1.892,1.70099,0.005842,0.005842,0.005842
