epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5249,2.43722,3.51922,2.81814,1.78546,0.00019,0.05,0.0001,3e-05,0.00013,0.03333,7e-05,1e-05,3.70183,45.3434,inf,7.22571,0.0695273,0.00243873,0.00243873
2,19.9671,2.28506,3.10734,2.20049,1.69713,0.21639,0.09583,0.0728,0.02392,0.06227,0.1,0.02233,0.00531,2.80885,9.50951,3.60837,2.51089,0.038567,0.00481175,0.00481175
3,28.9661,2.28548,3.01312,2.23176,1.68464,0.34364,0.24167,0.21258,0.06565,0.36891,0.25,0.19257,0.04867,2.34983,2.81417,2.69465,1.94108,0.00750909,0.00708715,0.00708715
4,38.1939,2.2459,2.89408,2.12624,1.68337,0.04992,0.39583,0.0354,0.01132,0.04801,0.34583,0.02896,0.00677,2.43829,3.61724,11.9375,1.98914,0.00697077,0.00697077,0.00697077
5,47.3547,2.27476,2.90134,2.10131,1.73793,0.12904,0.12083,0.04738,0.01253,0.07582,0.08333,0.02361,0.00465,2.65155,3.19413,3.45584,2.04224,0.00682436,0.00682436,0.00682436
6,56.4002,2.2435,2.74022,2.12271,1.72348,0.20192,0.19082,0.1341,0.04232,0.25025,0.18636,0.13046,0.03995,2.48732,3.56293,2.46525,1.88718,0.00667795,0.00667795,0.00667795
7,65.29,2.1448,2.68965,1.94604,1.64955,0.28201,0.38788,0.25296,0.0985,0.28302,0.34704,0.21861,0.05978,2.23363,2.45742,2.69354,1.76228,0.00653154,0.00653154,0.00653154
8,74.0802,2.18399,2.6338,2.00112,1.73276,0.23311,0.17732,0.12723,0.03921,0.25239,0.19583,0.12763,0.03347,2.62697,2.67853,2.76754,2.18241,0.00638513,0.00638513,0.00638513
9,82.975,2.13766,2.65993,1.94876,1.71811,0.00253,0.24167,0.00192,0.00068,0.00232,0.20833,0.00153,0.00042,2.7039,27.9776,64.7347,2.71795,0.00623872,0.00623872,0.00623872
10,91.8035,2.20203,2.74476,2.02262,1.71803,0.29236,0.35,0.22009,0.0757,0.3033,0.27083,0.208,0.05736,2.31175,3.41409,2.05703,1.94588,0.00609231,0.00609231,0.00609231
11,100.868,2.10478,2.54288,1.93604,1.65018,0.40923,0.32038,0.26053,0.09036,0.38773,0.3,0.23392,0.06986,2.11795,3.60554,15.8816,1.70036,0.0059459,0.0059459,0.0059459
12,109.916,2.09457,2.58412,1.85876,1.65499,0.33072,0.42414,0.29142,0.11504,0.33649,0.40833,0.30605,0.08734,2.0598,2.23977,2.02812,1.7025,0.00579949,0.00579949,0.00579949
13,119.032,2.08291,2.50532,1.86827,1.65628,0.14157,0.25417,0.08738,0.03154,0.12055,0.19583,0.06,0.01487,2.25475,2.95999,9.95768,1.7878,0.00565308,0.00565308,0.00565308
14,128.185,2.01242,2.4488,1.83734,1.64984,0.35192,0.3,0.26475,0.09997,0.35336,0.2375,0.20158,0.05424,2.13187,2.75096,2.35452,1.74678,0.00550667,0.00550667,0.00550667
15,137.318,1.94568,2.46673,1.78586,1.54489,0.3849,0.3875,0.33352,0.14491,0.38577,0.38333,0.32346,0.12051,1.86286,2.10212,1.85293,1.55271,0.00536026,0.00536026,0.00536026
16,146.593,1.89863,2.30241,1.67978,1.5445,0.5278,0.45,0.43657,0.17397,0.48831,0.475,0.47568,0.15052,1.9376,2.10772,1.7448,1.63577,0.00521385,0.00521385,0.00521385
17,155.623,1.96442,2.43047,1.7335,1.59669,0.36993,0.35,0.30245,0.11322,0.37469,0.34583,0.30424,0.09325,2.10819,2.44106,1.94743,1.73351,0.00506744,0.00506744,0.00506744
18,164.277,1.9701,2.3273,1.69983,1.58376,0.29058,0.4,0.25901,0.10004,0.40987,0.32083,0.27855,0.08329,2.07899,2.37569,2.184,1.74729,0.00492103,0.00492103,0.00492103
19,172.837,1.84171,2.28587,1.63599,1.51597,0.41152,0.4625,0.41529,0.1751,0.36403,0.44583,0.3823,0.11649,1.97539,2.11154,1.6777,1.69276,0.00477462,0.00477462,0.00477462
20,181.532,1.90314,2.29393,1.6374,1.55692,0.33102,0.51667,0.3251,0.13851,0.35377,0.49167,0.35334,0.11719,1.90358,2.23055,1.88126,1.60265,0.00462821,0.00462821,0.00462821
21,190.175,1.94575,2.33295,1.68632,1.54276,0.55306,0.42917,0.46998,0.19608,0.59552,0.44169,0.49412,0.1886,1.82792,1.9477,1.73902,1.55971,0.00448181,0.00448181,0.00448181
22,198.915,1.88225,2.30014,1.56978,1.48951,0.41428,0.47917,0.44983,0.20432,0.47045,0.49232,0.45507,0.17012,1.77172,2.02397,1.59964,1.52168,0.0043354,0.0043354,0.0043354
23,207.564,1.86922,2.27859,1.54656,1.51059,0.45046,0.43377,0.36583,0.16106,0.50615,0.4,0.35445,0.11737,1.88423,2.28151,1.78595,1.62455,0.00418899,0.00418899,0.00418899
24,216.177,1.83752,2.2337,1.5248,1.50352,0.5463,0.60417,0.60104,0.2505,0.55233,0.60662,0.6009,0.23169,1.84586,1.941,1.64685,1.54016,0.00404258,0.00404258,0.00404258
25,225.31,1.83832,2.21974,1.51536,1.48917,0.50466,0.61667,0.52858,0.20896,0.42538,0.54583,0.48466,0.15888,1.87835,1.99247,1.49256,1.60028,0.00389617,0.00389617,0.00389617
26,234.239,1.77752,2.20128,1.49064,1.47146,0.51599,0.56857,0.4995,0.23084,0.51221,0.56441,0.49876,0.19205,1.81284,1.80193,1.43737,1.50787,0.00374976,0.00374976,0.00374976
27,243.504,1.79558,2.20468,1.49529,1.4729,0.54594,0.52917,0.55435,0.2671,0.55125,0.47917,0.51308,0.17812,1.74308,1.99224,1.47139,1.4938,0.00360335,0.00360335,0.00360335
28,252.376,1.77473,2.21836,1.52098,1.44437,0.6094,0.55256,0.57724,0.27091,0.62143,0.5625,0.5886,0.22786,1.66582,1.8593,1.46977,1.45303,0.00345694,0.00345694,0.00345694
29,260.979,1.77742,2.21486,1.51612,1.44066,0.50275,0.5,0.44517,0.21306,0.46863,0.46302,0.42535,0.15425,1.8247,1.96061,1.69076,1.52048,0.00331053,0.00331053,0.00331053
30,269.672,1.73354,2.15371,1.45765,1.43275,0.50349,0.55,0.50503,0.23064,0.49394,0.54167,0.50059,0.194,1.71388,1.81083,1.43722,1.46999,0.00316412,0.00316412,0.00316412
31,278.31,1.73821,2.23455,1.46455,1.42149,0.52209,0.575,0.55151,0.27381,0.51503,0.57524,0.56498,0.21236,1.68081,1.92385,1.39173,1.44409,0.00301771,0.00301771,0.00301771
32,287.551,1.73725,2.22907,1.43886,1.41028,0.56101,0.625,0.63645,0.28578,0.56849,0.63333,0.62872,0.24581,1.74576,1.76537,1.35189,1.46559,0.0028713,0.0028713,0.0028713
33,296.328,1.72277,2.13976,1.42399,1.40759,0.54978,0.6,0.56692,0.24822,0.54214,0.59167,0.54494,0.18499,1.73452,1.85353,1.51325,1.4922,0.00272489,0.00272489,0.00272489
34,305.062,1.69102,2.11178,1.39925,1.41382,0.55455,0.62917,0.58993,0.27174,0.53573,0.59583,0.57346,0.22102,1.66482,1.7699,1.3798,1.4298,0.00257848,0.00257848,0.00257848
35,313.692,1.65533,2.0039,1.36763,1.39816,0.48036,0.69583,0.57036,0.27716,0.58054,0.54206,0.56333,0.24013,1.69071,1.81503,1.48529,1.41309,0.00243207,0.00243207,0.00243207
36,322.224,1.66485,2.15783,1.40803,1.39331,0.36265,0.6125,0.49385,0.22622,0.38751,0.625,0.50439,0.19987,1.68276,1.82004,2.58719,1.42235,0.00228566,0.00228566,0.00228566
37,330.664,1.64474,2.1869,1.39992,1.38877,0.60375,0.59167,0.63416,0.31512,0.65069,0.60417,0.65961,0.27703,1.63669,1.72019,1.40396,1.40306,0.00213925,0.00213925,0.00213925
38,339.575,1.60655,2.08157,1.33412,1.36925,0.58923,0.64583,0.64278,0.32317,0.61029,0.6625,0.66742,0.26518,1.61727,1.80958,1.32008,1.36718,0.00199284,0.00199284,0.00199284
39,348.382,1.61364,2.03064,1.28965,1.35198,0.65372,0.6625,0.66752,0.32679,0.65418,0.65417,0.65224,0.2604,1.63046,1.76265,1.32072,1.39592,0.00184643,0.00184643,0.00184643
40,357.144,1.59431,2.04272,1.30895,1.33886,0.63885,0.64861,0.64628,0.33161,0.66298,0.65833,0.66063,0.27812,1.55097,1.71499,1.28442,1.37565,0.00170002,0.00170002,0.00170002
41,382.579,1.69902,2.04178,1.44307,1.50019,0.70302,0.575,0.63516,0.31734,0.69759,0.56667,0.61362,0.24546,1.61287,1.80314,1.43178,1.38384,0.00155361,0.00155361,0.00155361
42,391.548,1.70716,1.95173,1.45729,1.51387,0.55269,0.49939,0.49967,0.2378,0.56191,0.50772,0.51573,0.19589,1.74691,2.03684,1.48925,1.46341,0.0014072,0.0014072,0.0014072
43,400.3,1.65722,1.9147,1.42025,1.49694,0.6589,0.7,0.70188,0.33745,0.66424,0.69167,0.7155,0.27278,1.51913,1.65667,1.219,1.37251,0.00126079,0.00126079,0.00126079
44,409.322,1.59042,1.96641,1.3394,1.46048,0.72183,0.56667,0.66956,0.34201,0.71021,0.57917,0.67214,0.27089,1.61021,1.73918,1.30902,1.39711,0.00111438,0.00111438,0.00111438
45,418.182,1.60947,1.90853,1.29895,1.44956,0.6636,0.66667,0.705,0.36439,0.6636,0.66667,0.69532,0.29143,1.53738,2.10228,1.25499,1.34293,0.000967971,0.000967971,0.000967971
46,427.071,1.57863,1.87233,1.30607,1.44272,0.75909,0.62083,0.72418,0.37415,0.8279,0.64583,0.75359,0.31773,1.51724,1.67333,1.19823,1.36311,0.000821562,0.000821562,0.000821562
47,436.219,1.5712,1.81097,1.28243,1.44592,0.73585,0.62917,0.707,0.3682,0.74054,0.62917,0.73066,0.31081,1.53137,1.63,1.26226,1.34178,0.000675152,0.000675152,0.000675152
48,445.319,1.53954,1.82637,1.251,1.40495,0.68017,0.6875,0.71419,0.37577,0.68276,0.6875,0.71141,0.31768,1.49804,1.67067,1.20085,1.31322,0.000528742,0.000528742,0.000528742
49,454.412,1.50644,1.82671,1.23898,1.35589,0.77007,0.65587,0.75885,0.41812,0.77073,0.65831,0.74604,0.32925,1.46229,1.60754,1.19411,1.30361,0.000382332,0.000382332,0.000382332
50,463.441,1.48847,1.78847,1.2281,1.3659,0.72848,0.69583,0.77197,0.40887,0.7639,0.6875,0.76782,0.33317,1.44261,1.60299,1.1634,1.29665,0.000235923,0.000235923,0.000235923
